,Schiphol
Jan-2010,2.94
Feb-2010,2.86
Mar-2010,3.47
Apr-2010,3.01
May-2010,4.1
Jun-2010,4.1
Jul-2010,4.73
Aug-2010,4.64
Sep-2010,4.25
Oct-2010,4.31
Nov-2010,3.51
Dec-2010,3.24
Jan-2011,3.26
Feb-2011,3.05
Mar-2011,3.66
Apr-2011,4.13
May-2011,4.47
Jun-2011,4.51
Jul-2011,5.15
Aug-2011,5.06
Sep-2011,4.68
Oct-2011,4.6
Nov-2011,3.58
Dec-2011,3.53
Jan-2012,3.42
Feb-2012,3.3
Mar-2012,3.87
Apr-2012,4.19
May-2012,4.54
Jun-2012,4.61
Jul-2012,5.22
Aug-2012,5.14
Sep-2012,4.76
Oct-2012,4.64
Nov-2012,3.69
Dec-2012,3.59
Jan-2013,3.39
Feb-2013,3.27
Mar-2013,3.97
Apr-2013,4.33
May-2013,4.86
Jun-2013,4.86
Jul-2013,5.32
Aug-2013,5.33
Sep-2013,4.9
Oct-2013,4.75
Nov-2013,3.77
Dec-2013,3.78
Jan-2014,3.62
Feb-2014,3.44
Mar-2014,4.08
Apr-2014,4.56
May-2014,4.99
Jun-2014,5.03
Jul-2014,5.46
Aug-2014,5.62
Sep-2014,5.19
Oct-2014,5.02
Nov-2014,3.97
Dec-2014,3.97
Jan-2015,3.72
Feb-2015,3.6
Mar-2015,4.19
Apr-2015,4.77
May-2015,5.38
Jun-2015,5.32
Jul-2015,5.91
Aug-2015,5.94
Sep-2015,5.47
Oct-2015,5.33
Nov-2015,4.33
Dec-2015,4.29
Jan-2016,4.11
Feb-2016,4.1
Mar-2016,4.75
Apr-2016,5.24
May-2016,5.74
Jun-2016,5.74
Jul-2016,6.37
Aug-2016,6.4
Sep-2016,5.87
Oct-2016,5.78
Nov-2016,4.69
Dec-2016,4.75
Jan-2017,4.56
Feb-2017,4.32
Mar-2017,5.16
Apr-2017,5.84
May-2017,6.21
Jun-2017,6.15
Jul-2017,6.74
Aug-2017,6.8
Sep-2017,6.27
Oct-2017,6.25
Nov-2017,5.17
Dec-2017,4.98
Jan-2018,4.92
Feb-2018,4.74
Mar-2018,5.56
Apr-2018,6.02
May-2018,6.4
Jun-2018,6.39
Jul-2018,6.77
Aug-2018,6.84
Sep-2018,6.4
Oct-2018,6.41
Nov-2018,5.31
Dec-2018,5.27
Jan-2019,5.01
Feb-2019,4.84
Mar-2019,5.64
Apr-2019,6.11
May-2019,6.44
Jun-2019,6.5
Jul-2019,6.72
Aug-2019,6.81
Sep-2019,6.49
Oct-2019,6.43
Nov-2019,5.32
Dec-2019,5.39
Jan-2020,5.07
